sep=;
time;model_id;model_name;port_name;data
0;3;IDU;;{state=PASSIVE, sigma=inf, chain1_up=0, chain2_up=0}
0;4;ODU2;;{state=PASSIVE, sigma=inf, lock=0}
0;5;ODU1;;{state=PASSIVE, sigma=inf, lock=0}
0;6;Satellite2;;{state=PASSIVE, sigma=1}
0;7;Satellite1;;{state=PASSIVE, sigma=1}
1;4;ODU2;;{state=ACQUIRE_LOCK, sigma=inf, lock=1}
1;5;ODU1;;{state=ACQUIRE_LOCK, sigma=inf, lock=1}
1;6;Satellite2;beam_out;1
1;6;Satellite2;;{state=ILLUMINATE, sigma=13.3877}
1;7;Satellite1;beam_out;1
1;7;Satellite1;;{state=ILLUMINATE, sigma=15.2012}
3;3;IDU;;{state=CONNECTING, sigma=inf, chain1_up=1, chain2_up=0}
3;4;ODU2;signal_out;1
3;4;ODU2;;{state=TX_RX, sigma=inf, lock=1}
3;5;ODU1;signal_out;1
3;5;ODU1;;{state=TX_RX, sigma=inf, lock=1}
4;3;IDU;idu_out;1
4;3;IDU;;{state=MOD_DEMOD, sigma=inf, chain1_up=1, chain2_up=0}
14.3877;4;ODU2;;{state=TX_RX, sigma=inf, lock=1}
14.3877;6;Satellite2;beam_out;1
14.3877;6;Satellite2;;{state=PASSIVE, sigma=10.4639}
16.2012;5;ODU1;;{state=TX_RX, sigma=inf, lock=1}
16.2012;7;Satellite1;beam_out;1
16.2012;7;Satellite1;;{state=PASSIVE, sigma=11.3077}
24.8516;4;ODU2;;{state=RELEASE_LOCK, sigma=inf, lock=0}
24.8516;6;Satellite2;beam_out;0
24.8516;6;Satellite2;;{state=ILLUMINATE, sigma=10.6312}
25.8516;3;IDU;;{state=MOD_DEMOD, sigma=inf, chain1_up=1, chain2_up=0}
25.8516;4;ODU2;signal_out;0
25.8516;4;ODU2;;{state=PASSIVE, sigma=inf, lock=0}
27.509;5;ODU1;;{state=RELEASE_LOCK, sigma=inf, lock=0}
27.509;7;Satellite1;beam_out;0
27.509;7;Satellite1;;{state=ILLUMINATE, sigma=14.9754}
28.509;3;IDU;;{state=DISCONNECTING, sigma=inf, chain1_up=0, chain2_up=0}
28.509;5;ODU1;signal_out;0
28.509;5;ODU1;;{state=PASSIVE, sigma=inf, lock=0}
29.009;3;IDU;idu_out;0
29.009;3;IDU;;{state=PASSIVE, sigma=inf, chain1_up=0, chain2_up=0}
35.4829;4;ODU2;;{state=ACQUIRE_LOCK, sigma=inf, lock=1}
35.4829;6;Satellite2;beam_out;1
35.4829;6;Satellite2;;{state=PASSIVE, sigma=6.58565}
37.4829;3;IDU;;{state=CONNECTING, sigma=inf, chain1_up=0, chain2_up=1}
37.4829;4;ODU2;signal_out;1
37.4829;4;ODU2;;{state=TX_RX, sigma=inf, lock=1}
38.4829;3;IDU;idu_out;1
38.4829;3;IDU;;{state=MOD_DEMOD, sigma=inf, chain1_up=0, chain2_up=1}
42.0685;4;ODU2;;{state=RELEASE_LOCK, sigma=inf, lock=0}
42.0685;6;Satellite2;beam_out;0
42.0685;6;Satellite2;;{state=ILLUMINATE, sigma=10.8154}
42.4844;5;ODU1;;{state=ACQUIRE_LOCK, sigma=inf, lock=1}
42.4844;7;Satellite1;beam_out;1
42.4844;7;Satellite1;;{state=PASSIVE, sigma=6.49001}
43.0685;3;IDU;;{state=DISCONNECTING, sigma=inf, chain1_up=0, chain2_up=0}
43.0685;4;ODU2;signal_out;0
43.0685;4;ODU2;;{state=PASSIVE, sigma=inf, lock=0}
43.5685;3;IDU;idu_out;0
43.5685;3;IDU;;{state=PASSIVE, sigma=inf, chain1_up=0, chain2_up=0}
44.4844;3;IDU;;{state=CONNECTING, sigma=inf, chain1_up=1, chain2_up=0}
44.4844;5;ODU1;signal_out;1
44.4844;5;ODU1;;{state=TX_RX, sigma=inf, lock=1}
45.4844;3;IDU;idu_out;1
45.4844;3;IDU;;{state=MOD_DEMOD, sigma=inf, chain1_up=1, chain2_up=0}
48.9744;5;ODU1;;{state=RELEASE_LOCK, sigma=inf, lock=0}
48.9744;7;Satellite1;beam_out;0
48.9744;7;Satellite1;;{state=ILLUMINATE, sigma=12.1849}
49.9744;3;IDU;;{state=DISCONNECTING, sigma=inf, chain1_up=0, chain2_up=0}
49.9744;5;ODU1;signal_out;0
49.9744;5;ODU1;;{state=PASSIVE, sigma=inf, lock=0}
50.4744;3;IDU;idu_out;0
50.4744;3;IDU;;{state=PASSIVE, sigma=inf, chain1_up=0, chain2_up=0}
52.8839;4;ODU2;;{state=ACQUIRE_LOCK, sigma=inf, lock=1}
52.8839;6;Satellite2;beam_out;1
52.8839;6;Satellite2;;{state=PASSIVE, sigma=7.74772}
54.8839;3;IDU;;{state=CONNECTING, sigma=inf, chain1_up=0, chain2_up=1}
54.8839;4;ODU2;signal_out;1
54.8839;4;ODU2;;{state=TX_RX, sigma=inf, lock=1}
55.8839;3;IDU;idu_out;1
55.8839;3;IDU;;{state=MOD_DEMOD, sigma=inf, chain1_up=0, chain2_up=1}
60.6316;4;ODU2;;{state=RELEASE_LOCK, sigma=inf, lock=0}
60.6316;6;Satellite2;beam_out;0
60.6316;6;Satellite2;;{state=ILLUMINATE, sigma=12.9006}
61.1593;5;ODU1;;{state=ACQUIRE_LOCK, sigma=inf, lock=1}
61.1593;7;Satellite1;beam_out;1
61.1593;7;Satellite1;;{state=PASSIVE, sigma=9.90236}
61.6316;3;IDU;;{state=DISCONNECTING, sigma=inf, chain1_up=0, chain2_up=0}
61.6316;4;ODU2;signal_out;0
61.6316;4;ODU2;;{state=PASSIVE, sigma=inf, lock=0}
62.1316;3;IDU;idu_out;0
62.1316;3;IDU;;{state=PASSIVE, sigma=inf, chain1_up=0, chain2_up=0}
63.1593;3;IDU;;{state=CONNECTING, sigma=inf, chain1_up=1, chain2_up=0}
63.1593;5;ODU1;signal_out;1
63.1593;5;ODU1;;{state=TX_RX, sigma=inf, lock=1}
64.1593;3;IDU;idu_out;1
64.1593;3;IDU;;{state=MOD_DEMOD, sigma=inf, chain1_up=1, chain2_up=0}
71.0617;5;ODU1;;{state=RELEASE_LOCK, sigma=inf, lock=0}
71.0617;7;Satellite1;beam_out;0
71.0617;7;Satellite1;;{state=ILLUMINATE, sigma=14.7859}
72.0617;3;IDU;;{state=DISCONNECTING, sigma=inf, chain1_up=0, chain2_up=0}
72.0617;5;ODU1;signal_out;0
72.0617;5;ODU1;;{state=PASSIVE, sigma=inf, lock=0}
72.5617;3;IDU;idu_out;0
72.5617;3;IDU;;{state=PASSIVE, sigma=inf, chain1_up=0, chain2_up=0}
73.5322;4;ODU2;;{state=ACQUIRE_LOCK, sigma=inf, lock=1}
73.5322;6;Satellite2;beam_out;1
73.5322;6;Satellite2;;{state=PASSIVE, sigma=6.32442}
75.5322;3;IDU;;{state=CONNECTING, sigma=inf, chain1_up=0, chain2_up=1}
75.5322;4;ODU2;signal_out;1
75.5322;4;ODU2;;{state=TX_RX, sigma=inf, lock=1}
76.5322;3;IDU;idu_out;1
76.5322;3;IDU;;{state=MOD_DEMOD, sigma=inf, chain1_up=0, chain2_up=1}
79.8566;4;ODU2;;{state=RELEASE_LOCK, sigma=inf, lock=0}
79.8566;6;Satellite2;beam_out;0
79.8566;6;Satellite2;;{state=ILLUMINATE, sigma=8.63778}
80.8566;3;IDU;;{state=DISCONNECTING, sigma=inf, chain1_up=0, chain2_up=0}
80.8566;4;ODU2;signal_out;0
80.8566;4;ODU2;;{state=PASSIVE, sigma=inf, lock=0}
81.3566;3;IDU;idu_out;0
81.3566;3;IDU;;{state=PASSIVE, sigma=inf, chain1_up=0, chain2_up=0}
85.8476;5;ODU1;;{state=ACQUIRE_LOCK, sigma=inf, lock=1}
85.8476;7;Satellite1;beam_out;1
85.8476;7;Satellite1;;{state=PASSIVE, sigma=7.07552}
87.8476;3;IDU;;{state=CONNECTING, sigma=inf, chain1_up=1, chain2_up=0}
87.8476;5;ODU1;signal_out;1
87.8476;5;ODU1;;{state=TX_RX, sigma=inf, lock=1}
88.4944;4;ODU2;;{state=ACQUIRE_LOCK, sigma=inf, lock=1}
88.4944;6;Satellite2;beam_out;1
88.4944;6;Satellite2;;{state=PASSIVE, sigma=8.6678}
88.8476;3;IDU;idu_out;1
88.8476;3;IDU;;{state=MOD_DEMOD, sigma=inf, chain1_up=1, chain2_up=0}
90.4944;3;IDU;;{state=MOD_DEMOD, sigma=inf, chain1_up=1, chain2_up=1}
90.4944;4;ODU2;signal_out;1
90.4944;4;ODU2;;{state=TX_RX, sigma=inf, lock=1}
92.9231;5;ODU1;;{state=RELEASE_LOCK, sigma=inf, lock=0}
92.9231;7;Satellite1;beam_out;0
92.9231;7;Satellite1;;{state=ILLUMINATE, sigma=10.1398}
93.9231;3;IDU;;{state=MOD_DEMOD, sigma=inf, chain1_up=0, chain2_up=1}
93.9231;5;ODU1;signal_out;0
93.9231;5;ODU1;;{state=PASSIVE, sigma=inf, lock=0}
97.1622;4;ODU2;;{state=RELEASE_LOCK, sigma=inf, lock=0}
97.1622;6;Satellite2;beam_out;0
97.1622;6;Satellite2;;{state=ILLUMINATE, sigma=11.6389}
98.1622;3;IDU;;{state=DISCONNECTING, sigma=inf, chain1_up=0, chain2_up=0}
